trip_id,started_at,ended_at,start_lat,start_lng,end_lat,end_lng
84,01-02-2023 05:36,01-02-2023 05:46,38.9268,-77.0322,38.9024,-77.02622
85,01-02-2023 05:38,01-02-2023 05:42,38.947997,-77.02145817,38.93668393,-77.02418089
86,01-02-2023 05:40,01-02-2023 05:44,38.89484064,-76.99591577,38.89994163,-76.99489653
87,01-02-2023 05:40,01-02-2023 05:50,38.91902417,-77.03447967,38.928743,-77.012457
88,01-02-2023 05:41,01-02-2023 05:47,38.8840581,-76.9863852,38.8851,-77.0023
89,01-02-2023 05:41,01-02-2023 05:49,38.88701008,-77.09525675,38.89608691,-77.07145214
90,01-02-2023 05:41,01-02-2023 05:50,38.915544,-77.038252,38.90276,-77.03863
91,01-02-2023 05:42,01-02-2023 05:49,38.91,-77.01,38.91,-77
92,01-02-2023 05:42,01-02-2023 05:54,38.90728677,-76.99916661,38.90304,-77.019027
93,01-02-2023 05:43,01-02-2023 05:48,38.94807633,-77.02137283,38.952369,-77.002721
94,01-02-2023 05:44,01-02-2023 05:53,38.9126,-77.0135,38.9177645,-77.032096
95,01-02-2023 05:44,01-02-2023 05:56,38.920387,-77.025672,38.90731645,-77.00069815
96,01-02-2023 05:45,01-02-2023 05:49,38.92,-77.05,38.9,-77.05
97,01-02-2023 05:45,01-02-2023 05:55,38.873755,-77.089233,38.88701008,-77.09525675
98,01-02-2023 05:45,01-02-2023 05:55,38.89340967,-77.07634833,38.90571079,-77.04731762
99,01-02-2023 05:46,01-02-2023 05:47,38.8763,-77.0037,38.87501,-77.0024
100,01-02-2023 05:46,01-02-2023 06:15,38.907444,-76.986813,38.892441,-77.048947
101,01-02-2023 05:47,01-02-2023 05:57,38.919077,-77.000648,38.907908,-76.99707
102,01-02-2023 05:47,01-02-2023 05:57,38.919077,-77.000648,38.907908,-76.99707
103,01-02-2023 05:48,01-02-2023 05:56,38.894972,-77.003135,38.89728305,-77.02219069
104,01-02-2023 05:49,01-02-2023 05:53,38.909858,-77.038566,38.915544,-77.038252
105,01-02-2023 05:49,01-02-2023 05:54,38.90506687,-77.04177886,38.89830174,-77.04691261
